coo: 51.9251096_4.4755567;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2023-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.38;129.97;6.79;142.21;11.59;155.32;14.41;169.18;15.01;183.44;13.33;197.56;9.52;211.10;3.90;223.79;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.40;129.83;6.82;142.08;11.64;155.19;14.48;169.06;15.10;183.33;13.43;197.47;9.64;211.03;4.03;223.74;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.42;129.69;6.87;141.94;11.70;155.06;14.56;168.94;15.20;183.22;13.55;197.39;9.77;210.96;4.16;223.69;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.45;129.55;6.91;141.80;11.77;154.93;14.65;168.82;15.30;183.12;13.67;197.30;9.90;210.89;4.30;223.64;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.49;129.40;6.97;141.66;11.84;154.79;14.74;168.70;15.42;183.01;13.80;197.22;10.04;210.83;4.45;223.60;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.54;129.26;7.03;141.52;11.92;154.66;14.85;168.58;15.54;182.91;13.93;197.14;10.18;210.78;4.60;223.56;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.59;129.11;7.10;141.38;12.01;154.52;14.96;168.46;15.66;182.81;14.07;197.06;10.33;210.72;4.76;223.53;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.65;128.95;7.18;141.23;12.11;154.39;15.07;168.34;15.80;182.71;14.22;196.99;10.49;210.67;4.92;223.51;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.72;128.80;7.26;141.08;12.21;154.25;15.20;168.22;15.94;182.62;14.38;196.92;10.65;210.63;5.09;223.48;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.79;128.64;7.35;140.93;12.33;154.12;15.33;168.10;16.09;182.52;14.54;196.85;10.82;210.59;5.26;223.47;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.87;128.48;7.45;140.79;12.44;153.98;15.46;167.98;16.24;182.43;14.71;196.79;11.00;210.55;5.44;223.45;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.96;128.32;7.56;140.63;12.57;153.84;15.61;167.87;16.41;182.34;14.88;196.73;11.18;210.52;5.63;223.45;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2023-01-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.06;128.16;7.67;140.48;12.70;153.71;15.76;167.75;16.58;182.25;15.06;196.67;11.37;210.50;5.81;223.45;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
